Traded Company,No. of Transactions,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
Agriculture Development Bank Limited,91,460.00,454.00,455.00,13393.00,6112032.00,459.00,-4.00
Api Power Company Ltd.,92,605.00,593.00,597.00,5578.00,3337175.00,607.00,-10.00
Arun Finance Limited,39,176.00,162.00,176.00,6843.00,1168808.00,160.00,16.00
Arun Kabeli Power Ltd.,117,423.00,411.00,412.00,9148.00,3787907.00,416.00,-4.00
Arun Valley Hydropower Development Co. Ltd.,38,278.00,266.00,266.00,12289.00,3308400.00,270.00,-4.00
Asian Life Insurance Co. Limited,80,1594.00,1570.00,1585.00,8700.00,13766792.00,1574.00,11.00
Bank of Kathmandu Ltd.,62,465.00,460.00,461.00,14829.00,6839750.00,464.00,-3.00
Barun Hydropower Co. Ltd.,25,250.00,246.00,250.00,250.00,62000.00,251.00,-1.00
Bhargav Bikash Bank Ltd.,6,301.00,291.00,301.00,1060.00,313460.00,295.00,6.00
Bottlers Nepal (Terai) Limited,7,6850.00,6655.00,6750.00,150.00,1016500.00,6525.00,225.00
Butwal Power Company Limited,3,635.00,630.00,635.00,240.00,151400.00,630.00,5.00
Central Finance Co. Ltd.,13,196.00,193.00,193.00,3018.00,585372.00,196.00,-3.00
Century Commercial Bank Ltd.,115,271.00,267.00,267.00,22452.00,6051992.00,270.00,-3.00
Chhimek Laghubitta Bikas Bank Limited,21,1590.00,1573.00,1580.00,1235.00,1955695.00,1581.00,-1.00
Chilime Hydropower Company Limited,35,818.00,808.00,813.00,6086.00,4939754.00,821.00,-8.00
Citizen Bank International Limited,109,390.00,385.00,388.00,19018.00,7358020.00,393.00,-5.00
Citizen Investment Trust,9,3960.00,3910.00,3960.00,458.00,1808444.00,3906.00,54.00
Citizens Bank Internatioal Limited Promoter Share,1,325.00,325.00,325.00,14045.00,4564625.00,325.00,0.00
Civil Bank Ltd,86,269.00,258.00,258.00,25842.00,6724840.00,264.00,-6.00
Civil Laghubitta Bittiya Sanstha Ltd.,45,1331.00,1280.00,1280.00,1667.00,2161975.00,1330.00,-50.00
Deprosc Development Bank Limited,39,1341.00,1299.00,1302.00,2514.00,3291627.00,1320.00,-18.00
Deva Bikas Bank Limited,38,268.00,264.00,266.00,9967.00,2655065.00,265.00,1.00
Dibyashwori Hydropower Ltd.,21,204.00,203.00,204.00,283.00,57630.00,207.00,-3.00
Everest Bank Limited,61,1396.00,1359.00,1380.00,6786.00,9387171.00,1386.00,-6.00
Everest Bank Limited Con. Pref.,13,910.00,844.00,892.00,396.00,345228.00,861.00,31.00
Everest Insurance Co. Ltd.,60,2631.00,2570.00,2596.00,3511.00,9117300.00,2580.00,16.00
Excel Development Bank Ltd.,14,632.00,629.00,630.00,2193.00,1381381.00,630.00,0.00
First Micro Finance Development Bank Ltd.,25,1035.00,1016.00,1020.00,2815.00,2883260.00,1033.00,-13.00
Forward Community Microfinance Bittiya Sanstha Ltd.,326,3870.00,3785.00,3822.00,6313.00,24167783.00,3819.00,3.00
Garima Bikas Bank Limited,59,295.00,292.00,294.00,7877.00,2305759.00,295.00,-1.00
Global IME Bank Limited,92,400.00,391.00,391.00,17510.00,6891132.00,400.00,-9.00
Global IME Samunnat Scheme-1,3,10.00,9.95,9.95,25000.00,249250.00,10.00,-0.05
Goodwill Finance Co. Ltd.,5,205.00,201.00,205.00,2400.00,487000.00,205.00,0.00
Green Development Bank Ltd.,8,621.00,610.00,620.00,90.00,55640.00,625.00,-5.00
Guheshowori Merchant Bank & Finance Co. Ltd.,3,274.00,269.00,273.00,215.00,58310.00,274.00,-1.00
Gurans Life Insurance Company Ltd.,98,1200.00,1160.00,1161.00,8649.00,10225732.00,1189.00,-28.00
Gurkhas Finance Ltd.,24,189.00,180.00,180.00,9006.00,1652295.00,192.00,-12.00
Hamro Bikas Bank Ltd.,42,302.00,273.00,282.00,3872.00,1122216.00,289.00,-7.00
Himalayan Bank Limited,25,915.00,905.00,910.00,2162.00,1963941.00,913.00,-3.00
